UniqueSale,Parcel_No,SalePrice,LivingArea,LAND_SF,YR_BUILT,YR_REMOD,Last_Work,NewlyRemodeled,GROSS_AREA,LIVING_ARE,NUM_FLOORS,R_TOTAL_RM,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,SaleSeason,SaleMonth,Style,ZIPCODE,PTYPE,OWN_OCC,LU,STRUCTURE_,R_BLDG_STY,R_ROOF_TYP,R_EXT_FIN,HEAT_SYS,C_AC,Latitude_1,Longitud_1,FeetToParks,Neighborhood,WalkScore,TransitSco,BikeScore,FeetToMetro,MEDHHINC,PCTBACHMOR,PCTOWNEROC,PCTVACANT,PCTWHITE,CrimeIndex,NearUni,SchoolGrade,DistToCBD,NearImpBldg,NearCommonwealth,DistToPoor,NearAP,Ave_SalePr,Dist_AP,Dist_SC,Dist_Major_Road
11,100195010,321000,1623,1407,1900,2005,2005,0,2386,1623,1.5,7,4,2,0,2,0,Winter,Jan,Conventional,2128,104,0,R2,R,CV,G,W,1,0,42.38012,-71.02953,472,East Boston,94,67,76,1797,63606,14,40,2,70,4.5,0,7,7939,0,0,2317,0,403600,5632.534631,1412.849299,1056.544454
12,100227000,387500,1743,969,1900,1980,1980,0,1773,1182,2,7,3,3,0,3,0,Fall,Sep,Row Middle,2128,105,0,R3,R,SD,F,W,1,0,42.38122,-71.02902,70,East Boston,94,67,76,1747,63606,14,40,2,70,4.5,0,7,7919,0,0,1981,0,384600,5940.126526,1727.545631,1185.056621
13,100231000,300000,1320,995,1911,1980,1980,0,1866,1244,2,5,3,1,0,1,0,Summer,Jul,Row Middle,2128,101,1,R1,R,RM,F,M,1,0,42.38117,-71.02873,88,East Boston,94,67,76,1667,63606,14,40,2,70,4.5,0,7,8268,0,0,1923,0,402100,5893.003321,1767.218718,1108.315827
14,100236000,240000,1188,1175,1900,0,1900,0,1752,1168,2,5,3,1,1,1,0,Summer,Jul,Row End,2128,101,1,R1,R,RE,F,M,1,0,42.38101,-71.02903,147,East Boston,94,67,76,1726,63606,14,40,2,70,4.5,0,7,8319,0,0,2023,0,414100,5870.872968,1679.689479,1147.620773
15,100257000,490000,2904,2231,1890,0,1890,0,3520,2640,3,15,6,3,0,3,0,Fall,Oct,Decker,2128,105,0,R3,R,DK,F,P,1,0,42.3812,-71.02769,293,East Boston,94,67,76,1409,63606,14,40,2,70,4.5,0,7,8219,0,0,1683,0,462900,5801.805558,1971.408799,871.532558
16,100270000,607000,2853,1782,1899,2011,2011,1,3804,2853,3,14,8,3,0,3,0,Summer,Jul,Decker,2128,105,0,R3,R,DK,F,M,0,0,42.38099,-71.02712,463,East Boston,94,67,76,1237,63606,14,40,2,70,4.5,0,7,8553,0,0,1611,0,454000,5678.788322,2050.305856,699.95781
17,100422000,535000,2372,1544,1905,0,1905,0,3884,2372,2,11,4,2,0,2,0,Summer,Jun,Two Fam Stack,2128,104,0,R2,R,TF,F,M,1,0,42.38078,-71.02268,64,East Boston,94,67,76,415,64665,10,3,2,73,3.08,0,7,8635,0,0,1037,0,425300,5339.926102,3066.643491,291.4195868
18,100452000,460000,1980,961,1900,0,1900,0,3004,1980,3,9,4,3,1,3,0,Winter,Jan,Row Middle,2128,105,1,R3,R,RM,F,W,1,0,42.38061,-71.02604,206,East Boston,94,67,76,914,64665,10,3,2,73,3.08,0,7,9608,0,0,1514,0,481400,5459.23428,2231.872307,378.159682
19,100501000,290000,1584,1300,1880,1980,1980,0,2992,1584,2,7,3,1,0,2,0,Spring,Apr,Conventional,2128,104,0,R2,R,CV,G,W,1,0,42.38046,-71.02476,297,East Boston,94,67,76,579,64665,10,3,2,73,3.08,0,7,8801,0,0,1380,0,489400,5319.675654,2517.980037,51.07211555
20,100518000,0,1670,2500,1910,0,1910,0,2402,1670,2,8,2,2,0,2,0,Fall,Oct,Conventional,2128,104,1,R2,R,CV,G,M,1,0,42.38124,-71.02271,121,East Boston,94,67,76,580,64665,10,3,2,73,3.08,0,7,38463,0,0,877,0,425300,5507.390616,3113.224449,176.7915249
21,100657000,377000,1496,2500,1900,0,1900,0,2244,1496,2,8,2,2,0,2,0,Fall,Nov,Two Fam Stack,2128,104,0,R2,R,TF,F,M,1,0,42.38493,-71.01812,523,East Boston,94,67,76,2319,45959,9,31,5,81,2,0,7,9065,0,0,301,0,401300,6844.558502,4132.523587,493.7801538
22,100712000,250000,1632,2500,1910,0,1910,0,1488,1488,2,6,2,1,0,1,0,Fall,Sep,Colonial,2128,101,1,R1,R,CL,F,M,1,0,42.38454,-71.01953,585,East Boston,94,67,76,2002,45959,9,31,5,81,2,0,7,9686,0,0,309,0,426700,6678.750666,4159.716123,230.0925126
23,100850000,519500,3432,2863,1900,0,1900,0,4897,3450,3,18,9,3,0,3,0,Spring,May,Decker,2128,105,1,R3,R,DK,F,M,1,0,42.38185,-71.01979,213,East Boston,94,67,76,1163,78750,21,36,6,82,2,0,7,11455,0,0,806,0,404400,5696.686489,3910.192267,640.2944888
24,100933000,375000,1938,1917,1900,2006,2006,1,3255,1938,2,8,3,2,0,1,0,Fall,Oct,Colonial,2128,101,1,R1,R,CL,F,W,1,0,42.383237,-71.017332,166,East Boston,94,67,76,1995,78750,21,36,6,82,2,0,7,11059,0,0,830,0,401700,6255.011423,4185.78682,960.7603964
25,100978000,360000,2064,4989,1910,1998,1998,0,3726,2064,2,12,4,3,0,2,0,Winter,Dec,Conventional,2128,104,0,R2,R,CV,G,M,1,0,42.38409,-71.01372,61,East Boston,94,67,76,2614,78750,21,36,6,82,2,0,3,10480,0,0,318,0,513400,6756.35509,3892.008139,1647.2638
26,101157000,412000,2248,2500,1900,0,1900,0,3372,2248,2,10,4,2,0,2,0,Winter,Dec,Two Fam Stack,2128,104,1,R2,R,TF,F,M,1,0,42.38231,-71.01649,264,East Boston,94,67,76,1988,78750,21,36,6,82,2,0,3,11308,0,0,1051,0,439000,5956.490511,4234.785271,1299.711175
27,101173000,450000,3174,1800,1910,2008,2008,1,4256,3174,3,12,3,3,0,3,0,Spring,Mar,Decker,2128,105,0,R3,R,DK,F,W,1,0,42.38089,-71.01708,269,East Boston,94,67,76,1640,78750,21,36,6,82,2,0,7,12310,0,0,1580,0,420300,5419.317458,4358.498417,1429.000355
28,101205000,650000,2704,5133,1900,0,1900,0,4873,2704,2,10,6,3,0,2,1,Summer,Aug,Conventional,2128,104,0,R2,R,CV,H,M,1,0,42.38454,-71.00449,219,East Boston,94,67,76,846,64922,23,11,6,84,1.86,0,3,11341,0,0,1257,0,548700,7939.612538,3830.786746,3287.673533
29,101240000,587500,4779,3020,1910,0,1910,0,7425,4779,3,19,8,3,0,3,0,Winter,Dec,Decker,2128,105,1,R3,R,DK,F,M,1,0,42.38562,-71.00442,568,East Boston,94,67,76,460,64922,23,11,6,84,1.86,0,3,10961,0,0,940,0,561200,8283.056234,3617.012685,3103.147007
30,101333000,611000,3106,3607,1910,0,1910,0,4693,3106,2,14,7,2,0,2,0,Fall,Oct,Two Fam Stack,2128,104,1,R2,R,TF,F,M,1,0,42.38548,-71.00309,535,East Boston,94,67,76,680,64922,23,11,6,84,1.86,0,3,14605,0,0,1235,0,560900,8433.47756,3786.225082,3437.81749
31,101367001,680000,3978,4875,1960,0,1960,0,3922,3810,2,15,6,3,0,3,0,Fall,Nov,Conventional,2128,105,0,R3,R,CV,G,W,1,0,42.38582,-71.00136,455,East Boston,94,67,76,1002,64922,23,11,6,84,1.86,0,3,14793,0,0,1573,0,657100,8801.684739,3984.824617,3772.395809
32,101441000,440000,1617,3600,1940,0,1940,0,2430,1582,2,6,3,2,0,1,0,Fall,Sep,Colonial,2128,101,1,R1,R,CL,G,M,1,0,42.38561,-71.00611,179,East Boston,94,67,76,575,64922,23,11,6,84,1.86,0,3,15094,0,0,718,0,582700,8051.206371,3519.247205,2711.808191
33,101501000,510000,2660,4005,1915,1985,1985,0,4221,2660,2,12,6,2,0,2,0,Spring,Apr,Two Fam Stack,2128,104,0,R2,R,TF,H,B,1,0,42.3833,-70.99877,184,East Boston,94,67,76,2081,64922,23,11,6,84,1.86,0,3,15569,0,0,2646,0,615500,8537.559389,4894.821109,4847.444835
34,101555000,549000,2360,5227,1960,0,1960,0,2459,2360,2,10,5,2,0,2,1,Fall,Sep,Duplex,2128,104,0,R2,R,DX,G,M,1,0,42.38882,-70.9962,83,East Boston,94,67,76,666,86447,32,51,7,88,1.81,0,3,14384,0,0,2567,0,621800,10515.18763,4909.092264,4405.912599
35,101654000,640000,3126,2513,1900,0,1900,0,4674,3126,3,15,6,3,0,3,0,Summer,Aug,Decker,2128,105,0,R3,R,DK,F,M,1,0,42.38639,-71.00832,253,East Boston,94,67,76,967,46549,24,35,8,78,2,0,3,15849,0,0,214,0,384500,8041.335876,3389.723864,2053.55263
36,101683000,425000,1606,3555,1900,0,1900,0,3228,1606,2,12,6,2,0,2,0,Winter,Jan,Two Fam Stack,2128,104,0,R2,R,TF,F,M,1,0,42.388388,-71.004731,1071,East Boston,94,67,76,561,46549,24,35,8,78,2,0,3,17303,0,0,457,0,472900,9119.583979,3076.41329,2508.804011
37,101737000,340000,1726,5936,1910,0,1910,0,2935,1720,2,8,4,2,0,2,0,Fall,Sep,Two Fam Stack,2128,104,0,R2,R,TF,F,W,1,0,42.38839,-71.00936,86,East Boston,94,67,76,1355,21507,24,32,11,61,2,0,9,13993,0,0,0,0,444500,8611.067833,3273.046326,1439.679884
38,101740000,400000,1801,2203,1906,0,1906,0,2236,1342,2,7,3,2,0,2,0,Spring,Apr,Two Fam Stack,2128,104,1,R2,R,TF,F,M,1,0,42.38857,-71.00964,76,East Boston,94,67,76,1452,21507,24,32,11,61,2,0,9,15197,0,0,0,0,471500,8646.893001,3290.171319,1341.053571
39,101783000,332500,1389,5818,1920,0,1920,0,1642,1387,1.5,6,3,1,1,1,0,Spring,Apr,Cape,2128,101,0,R1,R,CP,G,W,1,0,42.38896,-71.00945,212,East Boston,94,67,76,1474,21507,24,32,11,61,2,0,9,14128,0,0,0,0,485000,8798.00311,3269.247412,1310.700987
40,101861000,447000,1742,6519,1900,0,1900,0,2873,1742,2,8,4,2,0,1,0,Summer,Jul,Colonial,2128,101,1,R1,R,CL,G,M,1,0,42.38876,-71.00304,793,East Boston,94,67,76,843,46549,24,35,8,78,2,0,3,14100,0,0,889,0,528000,9457.972131,3253.777304,2831.061096
41,101874000,635000,3758,3675,1910,0,1910,0,6500,4186,2,18,9,3,0,3,0,Fall,Sep,Conventional,2128,105,0,R3,R,CV,H,M,1,0,42.38918,-71.00512,1137,East Boston,94,67,76,854,46549,24,35,8,78,2,0,3,14220,0,0,312,0,389400,9329.159318,3021.156762,2270.264483
42,101944000,990000,5346,7500,1915,0,1915,0,7512,5346,3,18,8,3,0,3,0,Summer,Jul,Decker,2128,105,1,R3,R,DK,F,B,1,0,42.38931,-71.0012,565,East Boston,94,67,76,1178,46549,24,35,8,78,2,0,3,15661,0,0,1321,0,428200,9884.190256,3658.938668,3155.417376
43,102027000,410000,2083,5600,1906,0,1906,0,3831,1330,2,8,2,3,0,2,0,Winter,Dec,Conventional,2128,104,1,R2,R,CV,G,M,1,0,42.389399,-71.007819,434,East Boston,94,67,76,1237,21507,24,32,11,61,2,0,9,15253,0,0,0,0,469500,9104.062666,3137.921496,1605.526754
44,102073000,0,3856,6161,1909,0,1909,0,4477,2732,2,15,6,3,0,3,0,Summer,Jun,Conventional,2128,105,0,R3,R,CV,M,B,1,0,42.38962,-71.008,352,East Boston,94,67,76,1330,21507,24,32,11,61,2,0,9,39182,0,0,0,0,469500,9160.817638,3154.041761,1521.699239
45,102195000,485000,2416,5199,1950,1984,1984,0,3851,1772,1.5,6,3,2,0,1,1,Summer,Jun,Conventional,2128,101,0,R1,R,CP,G,B,1,1,42.39263,-71.00534,1389,East Boston,94,67,76,2113,86447,32,51,7,88,1.81,0,9,16193,0,0,50,0,409000,10448.02157,3441.963012,1573.934221
46,102220000,335000,1387,4750,1951,0,1951,0,2689,1387,1.5,7,2,1,1,1,1,Winter,Jan,Cape,2128,101,1,R1,R,CP,G,M,1,1,42.39134,-71.00147,482,East Boston,94,67,76,1207,86447,32,51,7,88,1.81,0,9,14677,0,0,905,0,551800,10485.20159,3753.789512,2712.846561
47,102236000,760000,4428,3320,1912,0,1912,0,6700,4428,3,17,7,3,0,3,0,Fall,Oct,Decker,2128,105,1,R3,R,DK,F,A,1,0,42.38988,-70.999,62,East Boston,94,67,76,549,86447,32,51,7,88,1.81,0,3,14680,0,0,1719,0,494600,10380.60441,4214.903726,3558.253557
48,102298000,410000,2090,5347,1937,2004,2004,0,2264,1588,2,10,4,1,0,1,0,Fall,Sep,Colonial,2128,101,1,R1,R,CL,G,M,1,1,42.39177,-71.00413,1112,East Boston,94,67,76,1803,86447,32,51,7,88,1.81,0,9,15892,0,0,180,0,431400,10295.42943,3311.062419,2015.001562
49,102332000,255000,573,2217,1900,0,1900,0,1166,573,1,6,3,1,0,1,0,Spring,May,Cape,2128,101,0,R1,R,CP,G,M,1,0,42.39076,-71.00286,913,East Boston,94,67,76,1519,86447,32,51,7,88,1.81,0,9,16506,0,0,642,0,563400,10119.97159,3382.784876,2499.656259
50,102521000,344000,1588,4959,1940,0,1940,0,2496,1285,1.5,7,2,1,0,1,0,Summer,Jul,Cape,2128,101,1,R1,R,CP,S,M,1,0,42.39053,-70.99884,225,East Boston,94,67,76,457,86447,32,51,7,88,1.81,0,3,16813,0,0,1672,0,577800,10601.82281,4293.840029,3474.016253
51,102531000,0,2314,980,1910,1984,1984,0,3132,2314,3,12,6,3,0,3,0,Winter,Dec,Row Middle,2128,105,1,R3,R,RM,F,B,1,0,42.37697,-71.03895,239,East Boston,94,67,76,2542,54815,14,17,13,63,5.54,0,3,38899,0,0,614,0,444800,6360.345082,862.8012376,1173.124131
52,102639000,600000,3102,2500,1910,0,1910,0,4493,3102,3,14,7,4,0,3,0,Winter,Dec,Semi Det,2128,105,0,R3,R,SD,F,B,1,0,42.37867,-71.03863,330,East Boston,94,67,76,2760,54815,14,17,13,63,5.54,0,3,15985,0,0,157,0,450700,6695.506208,684.371872,1749.611228
53,102672000,560000,2955,2084,1880,0,1880,0,4413,2955,3,14,8,3,0,3,0,Summer,Aug,Decker,2128,105,0,R3,R,DK,F,M,0,0,42.37905,-71.03899,191,East Boston,94,67,76,2920,64615,34,26,1,68,5,0,3,16075,0,0,62,0,509400,6860.956236,731.8242705,1905.598626
54,102687000,480000,2442,1278,1880,0,1880,0,3256,2442,3,12,6,3,0,3,0,Summer,Jun,Decker,2128,105,0,R3,R,DK,F,P,0,0,42.37931,-71.03853,314,East Boston,94,67,76,2878,64615,34,26,1,68,5,0,3,16967,0,0,188,0,474700,6836.234847,741.2676302,1974.442342
55,102728000,300000,2045,2500,1880,0,1880,0,1974,1953,2,7,4,2,0,1,0,Winter,Dec,Colonial,2128,101,0,R1,R,CL,G,W,1,0,42.380045,-71.038378,436,East Boston,94,67,76,3023,64615,34,26,1,68,5,0,3,5206,0,0,233,0,551800,6997.104311,846.7104114,2233.670164
56,102735000,590000,2140,3228,1873,0,1873,0,4005,2140,2,13,5,2,0,2,0,Fall,Nov,Conventional,2128,104,0,R2,R,CV,G,F,1,0,42.3804,-71.03832,532,East Boston,94,67,76,3102,64615,34,26,1,68,5,0,3,5695,0,0,251,0,500800,7080.058011,909.422951,2360.091452
57,102736000,565000,1944,2554,1880,0,1880,0,2880,1944,2.5,11,4,3,0,3,0,Summer,Aug,Row End,2128,105,1,R3,R,RE,G,B,0,0,42.3804,-71.03823,550,East Boston,94,67,76,3085,64615,34,26,1,68,5,0,3,5728,0,0,276,0,505800,7063.449755,905.573884,2357.35751
58,102737000,549000,2160,1860,1880,0,1880,0,3840,2160,3,9,7,3,1,2,0,Summer,Jun,Row Middle,2128,104,1,R2,R,RM,F,B,1,0,42.38039,-71.03815,563,East Boston,94,67,76,3067,64615,34,26,1,68,5,0,3,5882,0,0,297,0,509000,7046.054341,900.5694225,2351.508884
59,102746000,515000,1860,1117,1870,1999,1999,0,2484,1860,3,6,2,1,0,1,0,Fall,Nov,Victorian,2128,101,1,R1,R,CV,M,P,1,0,42.38041,-71.03746,716,East Boston,94,67,76,2945,64615,34,26,1,68,5,0,3,6108,0,0,484,0,522000,6925.93996,889.2870398,2347.532945
60,102769000,575000,3243,1250,1900,0,1900,0,4324,3243,3,14,5,3,0,3,0,Fall,Oct,Semi Det,2128,105,0,R3,R,SD,F,B,1,0,42.37964,-71.03814,433,East Boston,94,67,76,2876,64615,34,26,1,68,5,0,3,6216,0,0,296,0,496800,6846.464605,776.4276124,2079.391197
61,102779000,471000,2976,2500,1880,0,1880,0,4192,2976,3,12,5,2,0,2,0,Summer,Aug,Conventional,2128,104,1,R2,R,CV,F,W,1,0,42.37992,-71.03729,682,East Boston,94,67,76,2782,64615,34,26,1,68,5,0,3,6232,0,0,527,0,482500,6762.626173,817.3850257,2167.370278
62,102786000,435000,2304,2500,1880,0,1880,0,3498,2304,3,15,6,3,0,3,0,Spring,Apr,Conventional,2128,105,0,R3,R,CV,F,W,1,0,42.38015,-71.03673,852,East Boston,94,67,76,2745,64615,34,26,1,68,5,0,2,6243,0,0,680,0,485800,6724.475791,861.0105052,2252.079454
63,102824000,338500,1207,1000,1880,1992,1992,0,1848,1188,2,6,3,2,1,1,0,Fall,Oct,Row Middle,2128,101,1,R1,R,RM,G,M,1,0,42.37897,-71.03766,551,East Boston,94,67,76,2618,54815,14,17,13,63,5.54,0,3,6373,0,0,421,0,505200,6581.793182,711.0152747,1825.297677
64,102844000,325000,986,825,1900,2013,2013,1,1664,986,2,6,4,2,0,1,0,Spring,Mar,Row End,2128,101,0,R1,R,RE,G,M,1,0,42.37947,-71.03565,716,East Boston,94,67,76,2368,54815,14,17,13,63,5.54,0,2,6042,0,0,968,0,425800,6346.263542,908.2850635,2035.582062
65,102870000,400000,3094,1260,1900,0,1900,0,4124,2986,3,12,6,3,0,3,0,Spring,Mar,Row Middle,2128,105,0,R3,R,SD,M,M,1,0,42.37832,-71.03717,609,East Boston,94,67,76,2366,54815,14,17,13,63,5.54,0,3,6275,0,0,564,0,468500,6321.272029,744.4044418,1583.679057
66,102879000,569000,3044,2500,1900,0,1900,0,4292,3020,3,14,7,3,0,3,0,Summer,Jun,Decker,2128,105,1,R3,R,DK,M,M,1,0,42.37887,-71.03596,896,East Boston,94,67,76,2257,54815,14,17,13,63,5.54,0,3,6440,0,0,880,0,401000,6237.743969,877.7598386,1806.339665
67,102901000,380000,928,2500,1910,0,1910,0,1596,904,1.5,8,3,1,1,1,0,Summer,Jul,Cape,2128,101,0,R1,R,CP,G,V,1,0,42.37835,-71.03623,854,East Boston,94,67,76,2177,54815,14,17,13,63,5.54,0,3,5958,0,0,813,0,459800,6149.610673,870.7732097,1608.763358
68,102906000,455000,1965,1900,1880,0,1880,0,2632,1965,3,11,5,3,0,3,0,Summer,Jun,Row End,2128,105,0,R3,R,RE,M,M,1,0,42.3782,-71.03658,750,East Boston,94,67,76,2214,54815,14,17,13,63,5.54,0,3,6479,0,0,730,0,447500,6177.021274,834.2325554,1545.146911
69,102941000,295000,1384,1000,1900,0,1900,0,2043,1416,2,6,3,1,0,1,0,Winter,Dec,Row End,2128,101,0,R1,R,RE,G,M,1,1,42.378232,-71.034815,845,East Boston,94,67,76,1877,54815,14,17,13,63,5.54,0,2,5893,0,0,1198,0,466000,5857.908251,987.8545764,1657.283552
70,102951000,550000,2709,2500,1880,2010,2010,1,3976,2517,2,12,4,2,0,2,0,Summer,Jul,Conventional,2128,104,1,R2,R,CV,G,M,1,0,42.37793,-71.0354,1025,East Boston,94,67,76,1908,54815,14,17,13,63,5.54,0,3,6271,0,0,1063,0,432800,5883.910145,955.7895441,1503.207593
71,103055000,410000,2767,2500,1880,0,1880,0,4134,2767,2.5,11,4,2,1,2,0,Spring,Apr,Conventional,2128,104,1,R2,R,CV,G,M,1,0,42.37914,-71.03416,471,East Boston,94,67,76,2038,64615,34,26,1,68,5,0,2,6092,0,0,1369,0,395000,5997.746561,939.9568032,1767.561982
72,103062000,450000,2976,2000,1880,1986,1986,0,3992,2976,3,14,8,3,0,3,0,Spring,Mar,Row End,2128,105,1,R3,R,RE,F,M,1,0,42.37894,-71.03464,608,East Boston,94,67,76,2049,64615,34,26,1,68,5,0,2,5984,0,0,1238,0,429800,6022.741765,944.7919876,1819.042844
73,103094000,370000,1472,1201,1900,0,1900,0,2332,1346,2,12,6,2,0,2,0,Summer,Aug,Semi Det,2128,104,0,R2,R,SD,M,M,1,0,42.38042,-71.03363,83,East Boston,94,67,76,2390,64615,34,26,1,68,5,0,2,6361,0,0,1519,0,458800,6287.845012,982.8186596,1958.621479
74,103170000,435000,2148,1589,1900,2003,2003,0,3112,2148,3,11,5,3,0,3,1,Winter,Feb,Semi Det,2128,105,0,R3,R,SD,M,M,1,0,42.380597,-71.03106,145,East Boston,94,67,76,2229,63606,14,40,2,70,4.5,0,7,6169,0,0,2215,0,437200,5977.15713,1299.680167,1480.144876
75,103193000,445000,2130,1500,1900,0,1900,0,3124,2148,3,18,6,3,0,3,0,Summer,Jun,Row Middle,2128,105,0,R3,R,RM,M,M,1,0,42.37971,-71.03255,231,East Boston,94,67,76,2046,63606,14,40,2,70,4.5,0,7,6706,0,0,1807,0,400000,5909.823138,1025.679489,1568.647479
76,103216000,0,2246,2500,1905,0,1905,0,2284,2158,2,6,3,2,1,1,0,Summer,Jun,Colonial,2128,101,0,R1,R,CL,G,M,1,1,42.38091,-71.03319,163,East Boston,94,67,76,2515,49444,18,50,5,70,3.55,0,2,39828,0,0,1642,0,458800,6370.284246,1086.108528,1985.909068
77,103266000,600000,4637,2187,1900,0,1900,0,4820,4609,3,15,9,3,0,3,0,Summer,Jul,Decker,2128,105,0,R3,R,DK,F,M,1,0,42.38181,-71.03216,319,East Boston,94,67,76,2620,49444,18,50,5,70,3.55,0,2,6559,0,0,1927,0,417800,6507.883943,1388.123094,1996.526124
78,103301000,389000,2560,2187,1910,2003,2003,0,3134,2560,2,13,6,3,0,3,0,Summer,Jun,Conventional,2128,105,0,R3,R,CV,F,A,1,0,42.3821,-71.03235,400,East Boston,94,67,76,2702,49444,18,50,5,70,3.55,0,2,7117,0,0,1878,0,455000,6625.181839,1438.707706,2105.418128
79,103389000,420000,2262,2362,1900,0,1900,0,3421,2262,2,10,6,2,0,2,0,Fall,Oct,Two Fam Stack,2128,104,0,R2,R,TF,H,P,1,0,42.38182,-71.03552,779,East Boston,94,67,76,3070,64792,14,28,4,60,4.85,0,2,7692,0,0,1019,0,414000,6999.0882,1227.109342,2678.695665
80,103392000,425000,2586,2362,1900,0,1900,0,3879,2586,2,11,5,2,0,2,0,Spring,Mar,Two Fam Stack,2128,104,1,R2,R,TF,F,M,1,0,42.38182,-71.03523,721,East Boston,94,67,76,3034,64792,14,28,4,60,4.85,0,2,7176,0,0,1098,0,413000,6953.644204,1210.403423,2619.559467
81,103500000,450000,3552,2962,1910,2010,2010,1,5976,3552,2,16,8,2,0,2,0,Fall,Sep,Conventional,2128,104,1,R2,R,CV,G,M,1,0,42.38187,-71.03906,431,East Boston,94,67,76,3631,64792,14,28,4,60,4.85,0,3,7324,0,0,63,0,526180,7610.822688,1307.490287,2527.931946
82,103502000,0,3866,2625,1910,0,1910,0,4232,3866,3,18,9,3,0,3,0,Summer,Aug,Decker,2128,105,1,R3,R,DK,F,M,1,0,42.381823,-71.038642,528,East Boston,94,67,76,3544,64792,14,28,4,60,4.85,0,3,39329,0,0,176,0,526180,7523.530465,1263.66818,2635.827797
